// ThingDef
мачта и паруса; мачты и парусов; мачте и парусам; мачту и паруса; мачтой и парусами; мачте и парусах
такелаж; такелажа; такелажу; такелаж; такелажем; такелаже
навигационные приборы; навигационных приборов; навигационным приборам; навигационные приборы; навигационными приборами; навигационных приборах
укреплённая древесина; укреплённой древесины; укреплённой древесине; укреплённую древесину; укреплённой древесиной; укреплённой древесине

Бриг; Брига; Бригу; Бриг; Бригом; Бриге
Каравелла; Каравеллы; Каравелле; Каравеллу; Каравеллой; Каравелле
Когг; Когга; Коггу; Когг; Коггом; Когге
Фрегат; Фрегата; Фрегату; Фрегат; Фрегатом; Фрегате
Галеон; Галеона; Галеону; Галеон; Галеоном; Галеоне
Джонка; Джонки; Джонке; Джонку; Джонкой; Джонке
Драккар; Драккара; Драккару; Драккар; Драккаром; Драккаре
Пиратская каравелла; Пиратской каравеллы; Пиратской каравелле; Пиратскую каравеллу; Пиратской каравеллой; Пиратской каравелле
Шлюп; Шлюпа; Шлюпу; Шлюп; Шлюпом; Шлюпе
