// PawnKindDef
святой воин; святые воины
святой генерал; святые генералы
святой слуга; святые слуги
святой лучник; святые лучники
ангел ада; ангелы ада
великий Сатана; великие Сатаны
высший Властитель; высшие Властители
глас божий; гласы божии
демон чревоугодия; демоны чревоугодия
малый демон чревоугодия; малые демоны чревоугодия
воин-лилим; воины-лилимы
вредитель; вредители
страж ада; стражи ада
командир; командиры
элитный воин; элитные воины
демон-принц; демоны-принцы
привратник; привратники

// XenotypeDef
Властитель; Властители
Малахим; Малахимы
Сатана; Сатаны
Григорий; Григории
Чревоугодие; Чревоугодия
Малое Чревоугодие; Малые Чревоугодия
инкуб; инкубы
бес; бесы
Нефилим; Нефилимы
Лилим; Лилимы
