// FactionDef
племя огров; племена огров
союз малых; союзы малых
Поселение йотуна; Поселения йотуна

// PawnKindDef
Двергар-мех; Двергары-мехи
Управляемый минимех; Управляемые минимехи
Предводитель племени огров; Предводители племени огров

// ScenarioDef
изгнанный йотун-приключенец; изгнанные йотуны-приключенцы

// ThingDef
нисска; нисски

// XenotypeDef
Страж очага; Стражи очага
Кукла-страж; Куклы-стражи
Голем плоти; Големы плоти
Слуга-голем плоти; Слуги-големы плоти
Огр; Огры
Великий огр; Великие огры
Морозный йотун; Морозные йотуны
Огненный йотун; Огненные йотуны
Йотун; Йотуны
Наследник Сурта; Наследники Сурта
Наследник Имира; Наследники Имира
Порченный титан; Порченные титаны
Искажённый титан; Искажённые титаны
Полуйотун; Полуйотуны
Нисс; Ниссы
Двергар; Двергары
Свартальф; Свартальфы
Красношапка; Красношапки
