// PawnKindDef
вредитель; вредители
страж ада; стражи ада
командир; командиры
элитный воин; элитные воины
демон-принц; демон-принцы
привратник; привратники
бродячий оборотень; бродячие оборотни
предводитель нежити; предводители нежити
повелитель нежити; повелители нежити
нежить-пехотинец; нежить-пехотинцы
нежить-солдат; нежить-солдаты
нежить-сержант; нежить-сержанты

// ThingDef
сыворотка возрождения; сыворотки возрождения

// XenotypeDef
инкуб; инкубы
бес; бесы
дикий дракул; дикие дракулы
дракул-отродье; дракулы-отродья
дракул-неонат; дракулы-неонаты
дракул; дракулы
дракул-повелитель; дракулы-повелители
полувампир; полувампиры
франкенштейн; франкенштейны
оборотень; оборотни
восставший; восставшие
вернувшийся; вернувшиеся
гуль; гули
носферату; носферату
белая роза; белые розы
