// ThingDef
бобровая плотина; бобровые плотины
бивень моржа; бивни моржа
яйцо крокодила (неопл.); яйца крокодила (неопл.)
яйцо крокодила (опл.); яйца крокодила (опл.)
яйцо утконоса (опл.); яйца утконоса (опл.)
яйцо пустынной черепахи (неопл.); яйца пустынной черепахи (неопл.)
яйцо пустынной черепахи (опл.); яйца пустынной черепахи (опл.)
яйцо ядозуба (неопл.); яйца ядозуба (неопл.)
яйцо ядозуба (опл.); яйца ядозуба (опл.)
яйцо гремучей змеи (неопл.); яйца гремучей змеи (неопл.)
яйцо гремучей змеи (опл.); яйца гремучей змеи (опл.)
яйцо пингвина (опл.); яйца пингвина (опл.)
яйцо дикого гуся (неопл.); яйца дикого гуся (неопл.)
яйцо дикого гуся (опл.); яйца дикого гуся (опл.)
яйцо анаконды (опл.); яйца анаконды (опл.)
яйцо аллигатора (опл.); яйца аллигатора (опл.)
сырая рыба; сырая рыба
кожа гиппопотама; кожа гиппопотама
шкура антилопы гну; шкура антилопы гну
шкура утконоса; шкура утконоса
шкура льва; шкура льва
верблюжья шерсть; верблюжья шерсть
кожа ластоногого; кожа ластоногого
шкура тигра; шкура тигра
шерсть овцебыка; шерсть овцебыка
койот; койоты

жираф; жирафы
гиппопотам; гиппопотамы
зебра; зебры
антилопа гну; антилопы гну
крокодил; крокодилы
гепард; гепарды
бумбат; бумбаты
кенгуру; кенгуру
коала; коалы
утконос; утконосы
выдра; выдры

арктический койот; арктические койоты
чёрный медведь; чёрные медведи
абиссинская кошка; абиссинские кошки
бенгальская кошка; бенгальские кошки
британская короткошёрстная кошка; британские короткошёрстные кошки
мейн-кун; мейн-куны
манчкин; манчкины
норвежская лесная кошка; норвежские лесные кошки
персидская кошка; персидские кошки
сиамская кошка; сиамские кошки
сомалийская кошка; сомалийские кошки
сфинкс; сфинксы

гиена; гиены
пустынная черепаха; пустынные черепахи
лев; львы
ядозуб; ядозубы

бигль; бигли
чихуахуа; чихуахуа
корги; корги
французский бульдог; французские бульдоги
немецкая овчарка; немецкие овчарки
немецкий дог; немецкие доги
пудель; пудели
мопс; мопсы
ротвейлер; ротвейлеры
ши-тцу; ши-тцу
вельштерьер; вельштерьеры

двугорбый верблюд; двугорбые верблюды
гремучая змея; гремучие змеи
мегаскорпион; мегаскорпионы
пингвин; пингвины
тюлень; тюлени
морж; моржи

малая панда; малые панды
барсук; барсуки
дикий гусь; дикие гуси
бобёр; бобры
ёж; ежи
горилла; гориллы
ягуар; ягуары
лемур; лемуры
мандрил; мандрилы
тапир; тапиры
тигр; тигры

аллигатор; аллигаторы
анаконда; анаконды
индийский слон; индийские слоны
овцебык; овцебыки
лось; лоси
мегаросомаха; мегаросомахи
дикобраз; дикобразы

древний гигантский паук; древние гигантские пауки
слепая саламандра; слепые саламандры
пещерный медведь; пещерные медведи
пещерный ползун; пещерные ползуны
детёныш гигантского паука; детёныши гигантского паука
гигантский паук; гигантские пауки
инсектоид-громила; инсектоиды-громилы
вирм; вирмы

черноногий хорёк; черноногие хорьки
чёрный носорог; чёрные носороги
бонобо; бонобо
моа; моа 
большая панда; большие панды
квагга; квагги
хохлатый пингвин; хохлатые пингвины
тасманийский дьявол; тасманийские дьяволы
сумчатый волк; сумчатые волки
гиеновая собака; гиеновые собаки
гигантский панголин; гигантские панголины

ангорский кролик; ангорские кролики
журавль; журавли
мегакурица; мегакуры
орангутан; орангутаны
павлин; павлины
фазан; фазаны
перепел; перепела
королевский тигр; королевские тигры
лебедь; лебеди

лебединое гнездо; лебединые гнёзда
журавлиное яйцо (опл.); журавлиные яйца (опл.)
яйцо павлина (опл.); яйца павлина (опл.)
яйцо фазана (опл.); яйца фазана (опл.)
перепелиное яйцо (неопл.); перепелиные яйца (неопл.)
перепелиное яйцо (опл.); перепелиные яйца (опл.)
лебединое яйцо (неопл.); лебединые яйца (неопл.)
лебединое яйцо (опл.); лебединые яйца (опл.)
яйцо мегакурицы (опл.); яйца мегакурицы (опл.)
перепелиное мясо; перепелиное мясо

паучий кокон; паучьи коконы
паучьи яйца; паучьи яйца
яйцо слепой саламандры (опл.); яйца слепой саламандры (опл.)
яйцо пещерного ползуна (опл.); яйца пещерного ползуна (опл.)

яйцо моа (опл.); яйца моа (опл.)
яйцо хохлатого пингвина (опл.); яйца хохлатого пингвина (опл.)
