// ThingDef
маскировочный халат; маскировочные халаты
защитный костюм; защитные костюмы
гамбезон; гамбезоны
стёганый жилет; стёганые жилеты
лёгкий пластинчатый доспех; лёгкие пластинчатые доспехи
пластинчатые наплечники; пластинчатые наплечники
нагрудник; нагрудники
кольчуга; кольчуги
пластинчатый шлем; пластинчатые шлемы
каменная маска войны; каменные маски войны
прорывной шлем; прорывные шлемы
прорывная броня; прорывные брони
штурмовой шлем; штурмовые шлемы
штурмовая броня; штурмовые брони
балаклава; балаклавы
маскировочный капюшон; маскировочные капюшоны
защитный капюшон; защитные капюшоны
