// PawnKindDef
северный мегаолень; северные мегаолени
северный мегаоленёнок; северные мегаоленята
молодой северный мегаолень; молодые северные мегаолени

// ThingDef
эгг-ног; эгг-ноги
тёплая шапка; тёплые шапки
тёплая куртка; тёплые куртки
праздничный младенец; праздничные младенцы
праздничный отец; праздничные отцы
праздничная мать; праздничные матери
праздничный осёл; праздничные ослы
праздничный вол; праздничные волы
праздничная овца; праздничные овцы
праздничный пастух; праздничные пастухи
праздничный охотник; праздничные охотники
праздничный король; праздничные короли
праздничный музыкальный автомат; праздничные музыкальные автоматы
большое праздничное древо; большие праздничные древеса
праздничный подарок; праздничные подарки
разбившийся доставщик подарков; разбившиеся доставщики подарков
снегомёт; снегомёты
снежок; снежки
снежная пушка; снежные пушки
снежная скульптура; снежные скульптуры
генератор снега; генераторы снега
праздничное древо; праздничные древеса
доставщик подарков; доставщики подарков
лужа воды; лужи воды
праздничный ковёр (средний); праздничные ковры (средние)
праздничный ковёр (большой); праздничные ковры (большие)
печенье с молоком; печенья с молоком
праздничный крекер; праздничные крекеры
горячий шоколад; горячие шоколады
имбирный пряник; имбирные пряники
снег; снега
плюшевая игрушка; плюшевые игрушки
металлическая игрушка; металлические игрушки
деревянная игрушка; деревянные игрушки
пряничный корень; пряничные корни
ель; ели
пихта; пихты
можжевельник ; можжевельники 
левое копыто; левые копыта
правое копыто; правые копыта
голова; головы
туша северного мегаоленя; туши северного мегаоленя
праздничный стол; праздничные столы
неготовый борщ; неготовые борщи
праздничный борщ; праздничные борщи
