// ThingDef
колокольчик; колокольчики
обломок орбитального корабля; обломки орбитального корабля
пси-лотос; пси-лотосы
глубокий снег; глубокие снега
гардения; гардении
горечавка; горечавки
петуния; петунии
росток пси-лотоса; ростки пси-лотоса
розовая трава; розовые травы
высокая розовая трава; высокие розовые травы

соцветие силлена; соцветия силлена
древо форакс; древа форакс
древо ксирил; древа ксирил
древо мирлокс; древа мирлокс
увядший пси-лотос; увядшие пси-лотосы

увядшее соцветие силлена; увядшие соцветия силлена
увядшее древо форакс; увядшие древа форакс
увядшее древо ксирил; увядшие древа ксирил
увядшее древо мирлокс; увядшие древа мирлокс
