// ChemicalDef
опиум; опиумы

// FactionDef
центральная республика; центральные республики
западная республика; западные республики
восточная республика; восточные республики
Империя; Империи

// HediffDef
доспех центуриона; доспехи центуриона
усиление доспеха центуриона; усиления доспеха центуриона
толерантность к опиуму; толерантности к опиуму
опиумная зависимость; опиумные зависимости

// PawnKindDef
житель; жители
торговец; торговцы
стражник; стражники
лучник; лучники
сенатор; сенаторы
легионер; легионеры
оператор скорпиона; операторы скорпиона
центурион; центурионы
преторианец; преторианцы

// ScenarioDef
Новая Империя; Новые Империи

// ThingDef
венок; венки
шлем легионера; шлемы легионера
шлем центуриона; шлемы центуриона
тога; тоги
броня легионера; брони легионера
броня центуриона; брони центуриона
связь центуриона; связи центуриона
палатка; палатки
терма; термы
сцена; сцены
сигнальный костёр; сигнальные костры
стойка для сушки мяса; стойки для сушки мяса
рабочий стол; рабочие столы
крематорий; крематории
пресс для цемента; прессы для цемента
ферма пурпура; фермы пурпура
стационарный скорпион; стационарные скорпионы
скорпион; скорпионы
большой испарительный охладитель; большие испарительные охладители
большой испарительный охладитель (проект); большие испарительные охладители (проекты)
большой испарительный охладитель (в процессе сборки); большие испарительные охладители (в процессе сборки)
каменный обогреватель; каменные обогреватели
каменный обогреватель (проект); каменные обогреватели (проекты)
каменный обогреватель (в процессе сборки); каменные обогреватели (в процессе сборки)
бронза; бронзы
пурпур; пурпуры
спата; спаты
рукоять; рукояти
острие; острия
наконечник; наконечники
кинжал; кинжалы
лезвие; лезвия
мак; маки
метательное копьё; метательные копья
древко; древки
плечо; плечи
стрела скорпиона; стрелы скорпиона
ростовой щит; ростовые щиты
основание; основания
центр; центры

// WorldObjectDef
фермерский аванпост; фермерские аванпосты
аванпост охотников; аванпосты охотников
аванпост лесорубов; аванпосты лесорубов
аванпост шахтёров; аванпосты шахтёров
