роевик; роевики
королевское желе; королевское желе
отряд; отряды

улей инсектоидов; ульи инсектоидов
стена улья; стены улья
стена из желе насекомых; стены из желе насекомых
стена из королевского желе; стены из королевского желе
стена из ульекамня; стены из ульекамня
большой светящийся кокон; большие светящиеся коконы

светящийся шпиль; светящиеся шпили
статический кокон; статические коконы
кокон с пожарной пеной; коконы с пожарной пеной
ферма вьющегося мха; фермы вьющегося мха
экстрактор; экстракторы
ферма желе насекомых; фермы желе насекомых
заражённый обломок корабля; заражённые обломки корабля
заражённая часть корабля; заражённые части корабля
заражённый модуль корабля; заражённые модули корабля

улей Кемия; ульи Кемия
улей Челис; ульи Челис
улей Ксанид; ульи Ксанид
улей Нухад; ульи Нухад

кокон инсектоидов; коконы инсектоидов
искусственный простой улей; искусственные простые ульи
искусственный улей Сорн; искусственные ульи Сорн
искусственный улей Нухад; искусственные ульи Нухад
искусственный улей Челис; искусственные ульи Челис
искусственный улей Кемия; искусственные ульи Кемия
искусственный улей Ксанид; искусственные ульи Ксанид
тепловой кокон; тепловые коконы
глубинный нагреватель; глубинные нагреватели
преобразователь желе; преобразователи желе
туннель; туннели
адская капсула; адские капсулы

петроглифер; петроглиферы
ульевый узел; ульевые узлы
шиповик; шиповики

червь-метатель; черви-метатели
червь-шипострел; черви-шипострелы

импульсная приманка на императрицу; импульсные приманки на императрицу
импульсная приманка на топливника-титана; импульсные приманки на топливника-титана
импульсная приманка на гигантского богомола; импульсные приманки на гигантского богомола
импульсная приманка на клеща-бомбардира; импульсные приманки на клеща-бомбардира
импульсная приманка на чешуйника; импульсные приманки на чешуйника

фероядро Сорн; фероядра Сорн
фероядро Нухад; фероядра Нухад
фероядро Челис; фероядра Челис
фероядро Кемия; фероядра Кемия
фероядро Ксанид; фероядра Ксанид

хитин; хитин
вьющийся мох; вьющийся мох


желчный плевун; желчные плевуны
бумклещ; бумклещи
труженик; труженики
императрица; императрицы
топливник; топливники
гигасаранча; гигасаранчи
клещ-бомбардир; клещи-бомбардиры
огневик; огневики
броненосец; броненосцы
мегамуха; мегамухи
тысяченожка; тысяченожки
кислотник; кислотники
мегаоса; мегаосы
королева инсектоидов; королевы инсектоидов
чешуйник; чешуйники
панцирник; панцирники
гигантский богомол; гигантские богомолы
топливник-титан; топливники-титаны
ядовка; ядовки
