// FactionDef
суровый клан; суровые кланы
свирепый клан; свирепые кланы
мирный клан; мирные кланы
мирное королевство; мирные королевства
воинственное королевство; воинственные королевства
свирепое королевство; свирепые королевства
гильдия купцов; гильдии купцов
королевство; королевства

// HediffDef
пыточная настойка; пыточные настойки
обезболивающая настойка; обезболивающие настойки
настойка эффективности; настойки эффективности
лечебная настойка; лечебные настойки
настойка иммунитета; настойки иммунитета
вино; вина
настойка силы; настойки силы
мёд; меды
настойка концентрации; настойки концентрации
настойка фертильности; настойки фертильности
настойка озарения; настойки озарения
настойка каменной кожи; настойки каменной кожи
настойка беспамятства; настойки беспамятства
настойка комы; настойки комы
ядовитая настойка; ядовитые настойки
настойка-противоядие; настойки-противоядия
воодушевление; воодушевления
аура воодушевления; ауры воодушевления
жало; жала
маска чумного доктора; маски чумного доктора

// PawnKindDef
стенолом; стеноломы
воитель; воители
налётчик; налётчики
алебардщик; алебардщики
арбалетчик; арбалетчики
берсерк; берсерки
застрельщик; застрельщики
купец; купцы
лучник; лучники
метатель факелов; метатели факелов
глава гильдии; главы гильдии
трэлл; трэллы
торговец; торговцы
крестьянин; крестьяне
охотник; охотники
тяжёлый лучник; тяжёлые лучники
штурмовик; штурмовики
ополченец; ополченцы
копейщик; копейщики
ярл; ярлы
знаменосец; знаменосцы
рыцарь; рыцари
тяжёлый рыцарь; тяжёлые рыцари
наёмник; наёмники
стрелок; стрелки
лорд; лорды

// ScenarioDef
Новое королевство; Новые королевства

// SitePartDef
осадный лагерь; осадные лагеря
поле битвы; поля битвы

// SitePartDef
осадный лагерь; осадные лагеря
поле битвы; поля битвы

// WorldObjectDef
разрушенный лагерь гильдии купцов; разрушенные лагеря гильдии купцов
гильдия купцов; гильдии купцов

// ThingDef
мёд; меды
вино; вина
тяжёлый пластинчатый шлем; тяжёлые пластинчатые шлемы
шутовской колпак; шутовские колпаки
дамская шляпка; дамские шляпки
корона; короны
маска чумного доктора; маски чумного доктора
тяжёлый кожаный шлем; тяжёлые кожаные шлемы
кожаный шлем; кожаные шлемы
стёганый шлем; стёганые шлемы
шаперон; шапероны
шапка; шапки


метательный факел; метательные факелы
тяжёлый пластинчатый доспех; тяжёлые пластинчатые доспехи
шутовской наряд; шутовские наряды
дамское платье; дамские платья
королевская мантия; королевские мантии
тяжёлая кожаная броня; тяжёлые кожаные брони
кожаная броня; кожаные брони
табард; табарды
стёганая броня; стёганые брони
накидка; накидки
улей; ульи
дверь замка (средняя); двери замка (средняя)
дверь замка (большая); двери замка (большая)
дверь замка (огромная); двери замка (огромная)



меховая кровать; меховые кровати
двойная меховая кровать; двойные меховые кровати
очаг; очаги
очаг (проект); очаги (проекты)
очаг (в процессе сборки); очаги (в процессе сборки)
знамя; знамёна
стеллаж; стеллажи
стрелковая мишень; стрелковые мишени
тренировочный манекен; тренировочные манекены
котёл для варки кожи; котлы для варки кожи
кузнечная наковальня; кузнечные наковальни

ткацкий станок; ткацкие станки
манекен; манекены
стойка для резцов; стойки для резцов

стойка для тесаков; стойки для тесаков
разделочная доска; разделочные доски
полировщик камня; полировщики камня
стойка для инструментов художника; стойки для инструментов художника
стопка заметок; стопки заметок
исследовательская доска; исследовательские доски

полка для лекарств; полки для лекарств
медовая бочка; медовые бочки
топливная алхимическая лаборатория; топливные алхимические лаборатории
электрическая алхимическая лаборатория; электрические алхимические лаборатории
стационарный арбалет; стационарные арбалеты
болт арбалета; болты арбалета
арбалет; арбалеты
стационарная аркебуза; стационарные аркебузы
аркебуза; аркебузы
тканевая стена; тканевые стены
тканевая стена (проект); тканевые стены (проект)
тканевая стена (в процессе сборки); тканевые стены (в процессе сборки)
бревенчатая стена; бревенчатые стены
бревенчатая стена (проект); бревенчатые стены (проект)
бревенчатая стена (в процессе сборки); бревенчатые стены (в процессе сборки)
частокол; частоколы
частокол (проект); частоколы (проекты)
частокол (в процессе сборки); частоколы (в процессе сборки)
крепостная стена; крепостные стены
крепостная стена (проект); крепостные стены (проект)
крепостная стена (в процессе сборки); крепостные стены (в процессе сборки)
