// ThingDef
конвейер; конвейеры
вход подземного конвейера; входы подземного конвейера
выход подземного конвейера; выходы подземного конвейера
автофермер; автофермеры
автобуровая установка; автобуровые установки
автоплавильня; автоплавильни
автоперегонный аппарат; автоперегонные аппараты
автокамнерез; автокамнерезы
автомясорубка; автомясорубки
конвейерная печь; конвейерные печи
автосборщик; автосборщики
синтезатор нейтроамина; синтезаторы нейтроамина
автопресс для боеприпасов; автопрессы для боеприпасов
ткацкий автокомплекс; ткацкие автокомплексы
автоплавильная печь; автоплавильные печи
автодистиллятор; автодистилляторы
фармацевтический комплекс; фармацевтические комплексы
автоматический мех. станок; автоматические мех. станки
конвейерный крематорий; конвейерные крематории
заводская воронка; заводские воронки
заводской усилитель; заводские усилители
заводской теплоотвод; заводские теплоотводы
фабричное блюдо; фабричные блюда
обработанный фарш; обработанный фарш
рыбная ферма; рыбные фермы
консервная линия; консервные линии
консервированный суп; консервированные супы
