// BodyDef
механическая астропеда; механические астропеды

// PawnKindDef
астропеда; астропеды
охотник; охотники

// ThingDef
кислородный ранец; кислородные ранцы
кислород u³; кислороды u³
труба космотоплива; трубы космотоплива
подземная труба космотоплива; подземные трубы космотоплива
вентиль космотоплива; вентили космотоплива
гигантский бак космотоплива; гигантские баки космотоплива
клапан космотоплива; клапаны космотоплива
слив космотоплива; сливы космотоплива
космотопливный генератор; космотопливные генераторы
промышленный космотопливный генератор; промышленные космотопливные генераторы
синтезатор космотоплива; синтезаторы космотоплива
очиститель космотоплива; очистители космотоплива
гигантский ускоритель; гигантские ускорители
агроклетка; агроклетки
терминал наведения; терминалы наведения
турель точечной обороны; турели точечной обороны
орудие точечной обороны; орудия точечной обороны
контейнер снарядов Гаусса; контейнеры снарядов Гаусса
пушка Гаусса; пушки Гаусса
снаряд пушки Гаусса; снаряды пушки Гаусса
ракетная установка «Дротик»; ракетные установки «Дротик»
ракета «Дротик»; ракеты «Дротик»
зенитный излучатель; зенитные излучатели
луч зенитного излучателя; лучи зенитного излучателя
компактная плита; компактные плиты
компактная химическая лаборатория; компактные химические лаборатории
компактный верстак; компактные верстаки
компактная кузня; компактные кузни
компактная швейная машинка; компактные швейные машинки
компактный перегонный аппарат; компактные перегонные аппараты
компактный высокоточный станок; компактные высокоточные станки
разрушенный малый кислородный бак; разрушенные малые кислородные баки
разрушенный малый бак космотоплива; разрушенные малые баки космотоплива
разрушенный расширитель гравитационного поля; разрушенные расширители гравитационного поля
разрушенный малый ускоритель; разрушенные малые ускорители
разрушенный большой ускоритель; разрушенные большой ускоритель
разрушенный малый радиатор; разрушенные малые радиаторы
повреждённая спасательная капсула; повреждённые спасательные капсулы
спасательная капсула (падает); спасательные капсулы (падают)
двигатель гравипрыжкового корабля; двигатели гравипрыжкового корабля
двигатель гравибаржи; двигатели гравибаржи
усилитель гравиполя; усилители гравиполя
двухъярусная койка; двухъярусные койки
койка медотсека; койки медотсека
корабельный стеллаж; корабельные стеллажи
настенная хлопушка с пожарной пеной; настенные хлопушки с пожарной пеной
терминал связи; терминалы связи
настенный орбитальный торговый маяк; настенные орбитальные торговые маяки
искусственное растение; искусственные растения
хлопушка с герметиком; хлопушки с герметиком
герметизирующая масса; герметизирующие массы
кабина пилота; кабины пилота
капитанский мостик; капитанские мостики
консоль второго пилота; консоли второго пилота
малый радиатор; малые радиаторы
большой радиатор; большие радиаторы
поглотитель гравитепла; поглотители гравитепла
инженерная консоль; инженерные консоли
ускоритель масс; ускорители масс
снаряд ускорителя масс; снаряды ускорителя масс
тяжёлый энергоаннигилятор; тяжёлые энергоаннигиляторы
гравидвигатель механоидов; гравидвигатели механоидов
большой ускоритель механоидов; большие ускорители механоидов
переработчик ресурсов; переработчики ресурсов
пусковая установка капсул механоидов; пусковые установки капсул механоидов
временный щит механоидов; временные щиты механоидов
узел космотоплива; узлы космотоплива
энергокатушка гравиядра; энергокатушки гравиядра
корабельный конденсатор; корабельные конденсаторы
гравитехнологическая консоль; гравитехнологические консоли
бортовой самописец гравикорабля; бортовые самописцы гравикорабля
бортовой компьютер; бортовые компьютеры
спрессованный вакуумный камень; спрессованные вакуумные камни
спрессованная сталь; спрессованные стали
спрессованная серебряная руда; спрессованные серебряные руды
спрессованная золотая руда; спрессованные золотые руды
спрессованная урановая руда; спрессованные урановые руды
спрессованная пластсталь; спрессованные пластсталь
спрессованный нефрит; спрессованные нефриты
ядро субперсоны стрелка; ядра субперсоны стрелка
центр техобслуживания; центры техобслуживания
гармонизатор конденсаторов; гармонизаторы конденсаторов
гравилифт; гравилифты
вакуумный барьер (2x1); вакуумные барьеры (2x1)
вакуумный барьер (3x1); вакуумные барьеры (3x1)
вакуумный барьер (5x1); вакуумные барьеры (5x1)
контрольный пункт вакуума; контрольные пункты вакуума
лужа космотоплива; лужи космотоплива
кислородный баллон; кислородные баллоны
космотопливо; космотоплива
кислородная труба; кислородные трубы
подземная кислородная труба; подземные кислородные трубы
вентиль кислорода; вентили кислорода
малый кислородный бак; малые кислородные баки
большой кислородный бак; большие кислородные баки
наполнитель кислородных баллонов; наполнители кислородных баллонов
опустошитель кислородных баллонов; опустошители кислородных баллонов
сборщик кислорода; сборщики кислорода
генератор кислорода; генераторы кислорода
промышленный кислородный насос; промышленные кислородные насосы
регенератор кислорода; регенераторы кислорода
астропеда; астропеды
охотник; охотники
копьё масс; копья масс
залповая капсула; залповые капсулы
малый астероид; малые астероиды
средний астероид; средние астероиды
большой астероид; большие астероиды
космоогонь; космоогни
искра космоогня; искры космоогня
посадочная структура; посадочные структуры

// WorldObjectDef
артиллерийский снаряд; артиллерийские снаряды
ледяной астероид; ледяные астероиды
скопление астероидов; скопления астероидов
поле астероидов; поля астероидов
пористый астероид; пористые астероиды
гигантский астероид; гигантские астероиды
расколотый астероид; расколотые астероиды
плотный астероид; плотные астероиды
малый астероид; малые астероиды
астероид с руинами; астероиды с руинами
заброшенная станция; заброшенные станции
астероид с твёрдым ядром; астероиды с твёрдым ядром
