// ThingDef
токсичный гейзер; токсичные гейзеры
дымовой гейзер; дымовые гейзеры
гейзер мёртвой жизни; гейзеры мёртвой жизни
гейзер трупного газа; гейзеры трупного газа
бочка радиоактивных отходов; бочки радиоактивных отходов
коралл; кораллы
серный разлом; серные разломы
засохшая пшеница; засохшая пшеница
провал; провалы
топляк; топляки
обломок жадеита; обломки жадеита
обломок обсидиана; обломки обсидиана
сенот; сеноты
небольшой сенот; небольшие сеноты
жадеит; жадеит
полированный жадеит; полированный жадеит
плотный снег; плотный снег
жемчужина души; жемчужины души
колокольчик души; колокольчики души
светошляпник; светошляпники
куст души; кусты души
корень древа души; корни древа души
колючка души; колючки души
цветок души; цветы души
саженец древа души; саженцы древа души
древо души; древа души
большое древо души; большие древа души
древнее древо души; древние древа души
увядшее древо души; увядшие древа души
папоротник; папоротники
можжевельник; можжевельники
бочковидный кактус; бочковидные кактусы
кактус «бобровый хвост»; кактусы «бобровый хвост»
ежовый кактус; ежовые кактусы
колонновидный кактус; колонновидные кактусы
цилиндропунция; цилиндропунции
худия; худии
светостойкий бум-гриб; светостойкие бум-грибы
светостойкая псилошляпка; светостойкие псилошляпки
светостойкая ивожабра; светостойкие ивожабры
лютик; лютики
незабудка; незабудки
василёк; васильки
дербенник; дербенники
вереск; верески
утёсник; утёсники
пожелтевший дуб; пожелтевшие дубы
пожелтевший тополь; пожелтевшие тополя
пожелтевшая берёза; пожелтевшие берёзы
пожелтевший клён; пожелтевшие клёны
пандан; панданы
финиковая пальма; финиковые пальмы
лавровое дерево; лавровые деревья
узловатая сосна; узловатые сосны
пепельное дерево; пепельные деревья
мангровое дерево; мангровые деревья
