// AbilityDef
левитация; левитации
невидимость; невидимости
инферно-плевок; инферно-плевки
дезинтегрирующий удар; дезинтегрирующие удары
электромагнитный импульс; электромагнитные импульсы
фазовый скачок; фазовые скачки

// FactionDef
убежище; убежища

// HediffDef
огромный; огромные
бастион; бастионы
пассивная медитация; пассивные медитации
пласталевая кожа; пласталевые кожи
неистекающий; неистекающие
мастерство умственного труда; мастерства умственного труда
отсутствие боли; отсутствия боли
инъекционная кома; инъекционные комы
синдром гемоколлапса; синдромы гемоколлапса
саморегенерирующий покров; саморегенерирующие покровы
регенерация; регенерации

// PawnKindDef
срощенный громила; срощенные громилы
срощенный мутант; срощенные мутанты
срощенный отросток; срощенные отростки
срощенный изувер; срощенные изуверы
пациент; пациенты

// ScenarioDef
запечатанное убежище; запечатанные убежища
Карго-культ; Карго-культы

// SitePartDef
объект архитного массива; объекты архитного массива
Запрос разведки; Запросы разведки
древнее исследовательское хранилище; древние исследовательские хранилища
зараженная лаборатория суперсолдат; зараженные лаборатории суперсолдат
заброшенная лаборатория суперсолдат; заброшенные лаборатории суперсолдат
опасная лаборатория суперсолдат; опасные лаборатории суперсолдат

// ToolCapacityDef
самоубийственная атака; самоубийственные атаки
разрез скальпелем; разрезы скальпелем

// ThingDef
выстрел дезинтегратора; выстрелы дезинтегратора
больничный халат; больничные халаты
пустой древний саркофаг криптосна; пустые древние саркофаги криптосна
древний саркофаг криптосна; древние саркофаги криптосна
пустой саркофаг криптосна кандидата; пустые саркофаги криптосна кандидата
саркофаг криптосна кандидата; саркофаги криптосна кандидата
древний настольный футбол; древние настольные футболы
древняя солнечная лампа; древние солнечные лампы
лампа древнего убежища; лампы древнего убежища
древний трубопроводный узел; древние трубопроводные узлы
контейнер архитных капсул; контейнеры архитных капсул
древний ящик с генными пакетами; древние ящики с генными пакетами
пустой складской стеллаж; пустые складские стеллажи
полка с сухпайками; полки с сухпайками
полка с медикаментами; полки с медикаментами
полка с нейтроамином; полки с нейтроамином
полка с больничными халатами; полки с больничными халатами
пустой древний контейнер для органов; пустые древние контейнеры для органов
древний контейнер для органов; древние контейнеры для органов
пусковая пневматическая установка; пусковые пневматические установки
пустой выход пневматических труб; пустые выходы пневматических труб
закрытый выход пневматических труб; закрытые выходы пневматических труб
древний химтопливный генератор; древние химтопливные генераторы
древняя биобатарея; древние биобатареи
древний верстак; древние верстаки
древняя станция готовки; древние станции готовки
древняя грядка; древние грядки
древняя станция вещания; древние станции вещания
отключённая древняя станция вещания; отключённые древние станции вещания
стена древнего убежища; стены древнего убежища
дверь древнего убежища; двери древнего убежища
запертая дверь древнего убежища; запертые двери древнего убежища
большая дверь древнего убежища; большие двери древнего убежища
запертая большая дверь древнего убежища; запертые большие двери древнего убежища
капсула срощенного мутанта; капсулы срощенного мутанта
капсула срощенного громилы; капсулы срощенного громилы
капсула срощенного изувера; капсулы срощенного изувера
капсула срощенных отростков; капсулы срощенных отростков
древний аварийный очиститель; древние аварийные очистители
запечатанная дверь убежища; запечатанные двери убежища
спуск в убежище; спуски в убежище
подъём из убежища; подъёмы из убежища
засохшая кровь; засохшие крови
срощенный мутант; срощенные мутанты
левый мутировавший кулак; левые мутировавшие кулаки
дубина из плоти; дубины из плоти
голова; головы
срощенный громила; срощенные громилы
левая раздутая рука; левые раздутые руки
правая раздутая рука; правые раздутые руки
удар телом; удары телом
срощенный изувер; срощенные изуверы
левый массивный кулак; левые массивные кулаки
правый массивный кулак; правые массивные кулаки
срощенный отросток; срощенные отростки
скальпель; скальпели
архогенный инъектор; архогенные инъекторы
массив нейростабилизаторов; массивы нейростабилизаторов
массив когнитивного восстановления; массивы когнитивного восстановления
насос быстрой инфузии; насосы быстрой инфузии
переработчик архитов; переработчики архитов
геномный подавитель; геномные подавители
буферная катушка отторжения; буферные катушки отторжения
передатчик срощенности; передатчики срощенности
ядро ингибитора мутагенов; ядра ингибитора мутагенов
призма выбора черт; призмы выбора черт
перенаправитель искажений; перенаправители искажений
гармонизатор сложности; гармонизаторы сложности
массив архитной маршрутизации; массивы архитной маршрутизации
древний чудо-доктор; древние чудо-доктор
чудоцикл биорегенерации; чудоциклы биорегенерации
чудоцикл мгновенной реабилитации; чудоциклы мгновенной реабилитации
чудоцикл обращения времени; чудоциклы обращения времени
чудоцикл переформатирования навыков; чудоциклы переформатирования навыков
сломанный древний чудо-доктор; сломанные древние чудо-доктор
разрушенный архогенный инъектор; разрушенные архогенные инъекторы
разрушенный массив нейростабилизаторов; разрушенные массивы нейростабилизаторов
разрушенный массив когнитивного восстановления; разрушенные массивы когнитивного восстановления
разрушенный насос быстрой инфузии; разрушенные насосы быстрой инфузии
разрушенный переработчик архитов; разрушенные переработчики архитов
разрушенный геномный подавитель; разрушенные геномные подавители
разрушенная буферная катушка отторжения; разрушенные буферные катушки отторжения
разрушенный передатчик срощенности; разрушенные передатчики срощенности
разрушенное ядро ингибитора мутагенов; разрушенные ядра ингибитора мутагенов
разрушенная призма выбора черт; разрушенные призмы выбора черт
разрушенный перенаправитель искажений; разрушенные перенаправители искажений
разрушенный гармонизатор сложности; разрушенные гармонизаторы сложности
разрушенный массив архитной маршрутизации; разрушенные массивы архитной маршрутизации
древнее искусственное растение; древние искусственные растения
древнее больничное кресло; древние больничные кресла
древняя больничная скамья; древние больничные скамьи
древняя больничная кроватка; древние больничные кроватки
древний инкубатор; древние инкубаторы
древняя стойка для капельниц; древние стойки для капельниц
древняя кухня; древние кухни
древняя маленькая раковина; древние маленькие раковины
древняя медицинская перегородка; древние медицинские перегородки
древний офисный стол; древние офисные столы
древний ремонтный стол; древние ремонтные столы
древняя исследовательская столешница; древние исследовательские столешницы
сломанная панель управления; сломанные панели управления
древний офисный принтер; древние офисные принтеры
знак предупреждения об опасности; знаки предупреждения об опасности
древний накопительный обогреватель; древние накопительные обогреватели
древний ящик игрушек; древние ящики игрушек
древний монитор показателей; древние мониторы показателей
древний кулер для воды; древние кулеры для воды
жуткая детская игрушка; жуткие детские игрушки
прогнивший военный ящик; прогнившие военные ящики
ржавый военный контейнер; ржавые военные контейнеры
ржавая тележка; ржавые тележки
терминал убежища; терминалы убежища
массив терминалов убежища; массивы терминалов убежища
деформированное ведро для швабры; деформированные вёдра для швабры
ржавая больничная кровать; ржавые больничные кровати
кровать-каталка; кровати-каталки
пустой контейнер; пустые контейнеры
