// BodyDef
дрон; дроны
летающий дрон; летающие дроны
поврежденный дрон; поврежденные дроны
прямоходящий дрон; прямоходящие дроны

// BodyPartDef
секция корпуса; секции корпуса
зрительный сенсор; зрительные сенсоры
ядро; ядра
корпус; корпуса
секция корпуса с шипами; секции корпуса с шипами
шасси; шасси
гусеница; гусеницы
колесо; колёса
сломанный позвоночник; сломанные позвоночники
ротор; роторы
антенна; антенны
нога; ноги

// BodyPartGroupDef
шип корпуса; шипы корпуса

// HediffDef
режим отдыха; режимы отдыха
задержка сенсоров; задержки сенсоров
режим работы; режимы работы
режим обращения; режимы обращения
режим вербовки; режимы вербовки

// MentalStateDef
саморазборка; саморазборки
утечка жидкости; утечки жидкости
разгон; разгоны
десинхронизация; десинхронизации
задержка сенсоров; задержки сенсоров
индексация; индексации
аварийное отключение; аварийные отключения
обрыв соединения; обрывы соединения
зацикленный сбор; зацикленные сборы
диагностическая петля; диагностические петли
жёсткий сбой; жёсткие сбои
перезагрузка; перезагрузки
отказ оборудования; отказы оборудования

// PawnKindDef
дрон-шатун; дроны-шатуны
автовещатель; автовещатели
дрон-пожарный; дроны-пожарные
дрон-налётчик; дроны-налётчики
дрон-фермер; дроны-фермеры
протокопейщик; протокопейщики
боевой дрон; боевые дроны
дрон-караванщик; дроны-караванщики
дрон-ремесленник; дроны-ремесленники
дрон-шахтёр; дроны-шахтёры
дрон-уборщик; дроны-уборщики
дрон-оса; дроны-осы
дрон-носильщик; дроны-носильщики
дрон-водитель; дроны-водители
дрон-ползун; дроны-ползуны
дрон-скат; дроны-скаты
дрон-турель; дроны-турели

// SitePartDef
передатчик дронов; передатчики дронов
свалка дронов; свалки дронов
фабрика дронов; фабрики дронов

// ThingDef
корпус дрона; корпуса дрона
обломок дрона; обломки дрона
спрессованный дроновый лом; спрессованные дроновые ломы
уничтоженный корпус колосса; уничтоженные корпуса колосса
уничтоженный дифференциал колосса; уничтоженные дифференциалы колосса
уничтоженная нога колосса; уничтоженные ноги колосса
разбившийся беспилотник; разбившиеся беспилотники
уничтоженный автотанк; уничтоженные автотанки
погрузчик свалки; погрузчики свалки
экскаватор свалки; экскаваторы свалки
отключённый беспилотник; отключённые беспилотники
отключённый дрон-колосс; отключённые дроны-колоссы
палета с ресурсами для дронов; палеты с ресурсами для дронов
спящий боевой дрон; спящие боевые дроны
спящий дрон-налётчик; спящие дроны-налётчики
спящий дрон-оса; спящие дроны-осы
палета с незавершёнными дронами; палеты с незавершёнными дронами
заводское оборудование; заводские оборудования
длинный ленточный конвейер; длинные ленточные конвейеры
ленточный конвейер; ленточные конвейеры
заводская робо-рука; заводские робо-руки
передатчик дронов; передатчики дронов
дрон (в режиме ожидания); дроны (в режиме ожидания)
стол калибровки дронов; столы калибровки дронов

терминал хранилища дронов; терминалы хранилища дронов
передатчик дронов дальнего действия; передатчики дронов дальнего действия
автоматический сборщик дронов; автоматические сборщики дронов
удерживающая Мастера платформа; удерживающие Мастера платформа
обездвиженная турель; обездвиженные турели
пуля из мини-турели; пули из мини-турели
пятно машинной жидкости; пятна машинной жидкости
ядро дрона; ядра дрона
незавершённый дрон; незавершённые дроны
вырубатель; вырубатели
пуля вырубателя; пули вырубателя
турель дрона; турели дрона
пуля турели дрона; пули турели дрона
грохотун; грохотуны
пуля грохотуна; пули грохотуна
копьё; копья
снаряд копья; снаряды копья
скат-пушка; скаты-пушки
снаряд скат-пушки; снаряды скат-пушки
