// PawnKindDef
изобретатель; изобретатели

// SitePartDef
погребённый бункер; погребённые бункеры
древний АРК; древние АРК
промышленный комплекс с АРК; промышленные комплексы с АРК
прототип АРК; прототипы АРК
АРК комплекс; АРК комплексы
геотермальный АРК; геотермальные АРК
ядерный АРК; ядерные АРК

// ThingDef
геотермальный АРК; геотермальные АРК
химтопливный АРК IV; химтопливные АРК IV
химтопливный АРК III; химтопливные АРК III
химтопливный АРК II; химтопливные АРК II
химтопливный АРК; химтопливные АРК
АРК; АРК
древний утеплённый пуховик; древние утеплённые пуховики
геотермальный АРК II; геотермальные АРК II
геотермальный АРК III; геотермальные АРК III
геотермальный АРК IV; геотермальные АРК IV
обломок АРК; обломки АРК
часть древнего АРК; части древнего АРК
прототип; прототипы
древний строительный грузовик; древние строительные грузовики
древний строительный кран; древние строительные краны
древний экскаватор; древние экскаваторы
пустой строительный поддон; пустые строительные поддоны
строительный поддон с ящиками; строительные поддоны с ящиками
строительный поддон с хламом; строительные поддоны с хламом
строительный поддон с компонентами; строительные поддоны с компонентами
строительный поддон с канистрами; строительные поддоны с канистрами
строительный поддон с древесиной; строительные поддоны с древесиной
терминал; терминалы
древний терминал; древние терминалы
сломанный терминал; сломанные терминалы
древний шкаф для бумаг; древние шкафы для бумаг
экспериментальная часть АРК; экспериментальные части АРК
изученная эксперим. часть АРК; изученные эксперим. часть АРК
древний забор из сетки-рабицы; древние заборы из сетки-рабицы
древний АРК; древние АРК
древний геотермальный АРК; древние геотермальные АРК
остов ядерного АРК; остовы ядерного АРК
экспериментальный АРК; экспериментальные АРК
ядерный АРК; ядерные АРК
ядерный АРК II; ядерные АРК II
ядерный АРК III; ядерные АРК III
ядерный АРК IV; ядерные АРК IV
дровяной АРК; дровяные АРК
дровяной АРК II; дровяные АРК II
дровяной АРК III; дровяные АРК III
дровяной АРК IV; дровяные АРК IV
АРК-компонент; АРК-компоненты
