// FactionDef
утопия; утопии; утопии; утопию; утопией; утопии

// HediffDef
утопия; утопии; утопии; утопию; утопией; утопии
электромагнитный шок; электромагнитного шока; электромагнитному шоку; электромагнитный шок; электромагнитным шоком; электромагнитном шоке
ЭМИ-ожог; ЭМИ-ожога; ЭМИ-ожогу; ЭМИ-ожог; ЭМИ-ожогом; ЭМИ-ожоге
ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец
сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ)
сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ)
нейтропотеря; нейтропотери; нейтропотере; нейтропотерю; нейтропотерей; нейтропотере
незначительная; незначительной; незначительной; незначительную; незначительной; незначительной
лёгкая; лёгкой; лёгкой; лёгкую; лёгкой; лёгкой
средняя; средней; средней; среднюю; средней; средней
серьёзная; серьёзной; серьёзной; серьёзную; серьёзной; серьёзной
экстремальная; экстремальной; экстремальной; экстремальную; экстремальной; экстремальной
замерзание; замерзания; замерзанию; замерзание; замерзанием; замерзании
озноб; озноба; ознобу; озноб; ознобом; ознобе
озноб; озноба; ознобу; озноб; ознобом; ознобе
лёгкое; лёгкого; лёгкому; лёгкое; лёгким; лёгком
серьёзное; серьёзного; серьёзному; серьёзное; серьёзным; серьёзном
экстремальное; экстремального; экстремальному; экстремальное; экстремальным; экстремальном
заморозка; заморозки; заморозке; заморозку; заморозкой; заморозке
отморожено; отморожена; отморожену; отморожено; отмороженом; отморожене
перегрев; перегрева; перегреву; перегрев; перегревом; перегреве
начальный; начального; начальному; начальный; начальным; начальном
незначительный; незначительного; незначительному; незначительный; незначительным; незначительном
серьёзный; серьёзного; серьёзному; серьёзного; серьёзным; серьёзном
экстремальный; экстремального; экстремальному; экстремального; экстремальным; экстремальном
недомогание от анализатора; недомогания оты анализатора; недомоганию оте анализатору; недомогание оту анализатор; недомоганием отой анализатором; недомогании оте анализаторе
