// AbilityDef
воинственный вой; воинственного воя; воинственному вою; воинственной вой; воинственным воем; воинственном вое

// HediffDef
невероятная скорость; невероятной скорости; невероятной скорости; невероятную скорость; невероятной скоростью; невероятной скорости
имплантационная кома; имплантационной комы; имплантационной коме; имплантационную кому; имплантационной комой; имплантационной коме
имплантационный шок; имплантационного шока; имплантационному шоку; имплантационный шок; имплантационным шоком; имплантационном шоке

// MentalBreakDef
светобоязнь; светобоязни; светобоязни; светобоязнь; светобоязнью; светобоязни

// MentalStateDef
паника от света; паники от света; панике от света; панику от света; паникой от света; панике от света
бегство от света; бегства от света; бегству от света; бегство от света; бегством от света; бегстве от света

// XenotypeDef
ликан; ликана; ликану; ликана; ликаном; ликане
волкочеловек; волкочеловека; волкочеловеку; волкочеловека; волкочеловеком; волкочеловеке
