// ThingDef
дымовая граната; дымовые гранаты
оглушающая граната; оглушающие гранаты
сапёрная лопатка; сапёрные лопатки
дубинка; дубинки
боевой нож; боевые ножи
молот; молоты
боевой топор; боевые топоры
полэкс; полэксы
топорик; топорики
ракетная установка; ракетные установки
ствол; стволы
ракета; ракеты
тяжёлый пистолет-пулемёт; тяжёлые пистолеты-пулемёты
болтовая винтовка; болтовые винтовки
блочный лук; блочные луки
крупнокалиберный револьвер; крупнокалиберные револьверы
боевой пистолет; боевые пистолеты
обрез; обрезы
осколочная граната; осколочные гранаты
гранатомёт; гранатомёты
огнемёт; огнемёты
полуавтоматическая винтовка; полуавтоматические винтовки
рычажная винтовка; рычажные винтовки
лёгкий пистолет-пулемёт; лёгкие пистолеты-пулемёты
пистолет-пулемёт; пистолеты-пулемёты
тяжёлый пулемёт; тяжёлые пулемёты
штатная винтовка; штатные винтовки
боевая винтовка; боевые винтовки
карабин; карабины
марксманская винтовка; марксманские винтовки
антиматериальная винтовка; антиматериальные винтовки
траншейный дробовик; траншейные дробовики
арбалет; арбалеты
маленький нож; маленькие ножи
длинный лук; длинные луки
большой лук; большие луки
камень; камни
энергопистолет; энергопистолеты
энергодробовик; энергодробовики
энергетический ПП; энергетические ПП
выстрел энергобластера; выстрелы энергобластера
энергобластер; энергобластеры
тяжёлый энергобластер; тяжёлые энергобластеры
энергоракетница; энергоракетницы
снайперская энерговинтовка; снайперские энерговинтовки
