// HediffDef
охотничья скрытность; охотничьи скрытности
загруженный; загруженные
скелетная рама; скелетные рамы
прицел с подсветкой; прицелы с подсветкой
эргономичная рукоять; эргономичные рукояти

// ThingDef
змеиный выстрел; змеиные выстрелы
уникальный арбалет; уникальные арбалеты
уникальный длинный лук; уникальные длинные луки
уникальный составной лук; уникальные составные луки
уникальный тяжёлый револьвер; уникальные тяжёлые револьверы
уникальный боевой пистолет; уникальные боевые пистолеты
уникальный обрез; уникальные обрезы
уникальная полуавтоматическая винтовка; уникальные полуавтоматические винтовки
уникальная рычажная винтовка; уникальные рычажные винтовки
уникальный траншейный дробовик; уникальные траншейные дробовики
уникальный лёгкий пистолет-пулемёт; уникальные лёгкие пистолеты-пулемёты
уникальный пистолет-пулемёт; уникальные пистолеты-пулемёты
уникальный тяжёлый пулемёт; уникальные тяжёлые пулемёты
уникальная штатная винтовка; уникальные штатные винтовки
уникальная боевая винтовка; уникальные боевые винтовки
уникальный карабин; уникальные карабины
уникальная марксманская винтовка; уникальные марксманские винтовки
уникальная антиматериальная винтовка; уникальные антиматериальные винтовки
уникальный энергопистолет; уникальные энергопистолеты
уникальный энергодробовик; уникальные энергодробовики
уникальный энергетический ПП; уникальные энергетические ПП
уникальный бластер; уникальные бластеры
уникальный тяжёлый бластер; уникальные тяжёлые бластеры
уникальная снайперская энерговинтовка; уникальные снайперские энерговинтовки
